,Title,Genre,Production,Actor,Producer,Rate,Rate_percent,Imdb
0,هفته ای یک بار آدم باش,خانوادگی - کمدی,1399,"['پژمان جمشیدی', 'رعنا آزادی ور', 'ساغر قناعت', 'علیرضا استادی', 'شیرین یزدان بخش', 'هوشنگ رادی پور', 'پژمان بازغی']",شهرام شاه حسینی,,به زودی,اکران آنلاین
1,خورشید هر روز از قرقی طلوع می کند,مستند - اجتماعی,1400,,یحیی آزادی,12,85%,
2,بچه خور,فیلم کوتاه,1397,"['علیرضا حکیمی', 'علیرضا مهران', 'فرحانه سبحانی', 'علی بحری', 'بهرام ابراهیمی']",محمد کارت,12482,91%,
3,یک کار نیمه مردانه,مستند - اجتماعی,1400,,مسعود کارگر,41,92%,
4,فیلیموشات: محمدحسین مهدویان,تاک شو - هاردتاک,1400,,,922,92%,
5,بوتاکس,خانوادگی - اجتماعی,1398,"['سوسن پرور', 'مهدخت مولایی', 'سروش سعیدی', 'مرتضی خانجانی', 'محسن کیانی']",کاوه مظاهری,4634,48%,4.9
6,هرماس,خانوادگی - اجتماعی,1399,"['برزو ارجمند', 'شیدا خلیق', 'علیرام نورایی', 'فریبا کوثری', 'شبنم قلی خانی', 'بهنوش بختیاری', 'مریم بوبانی', 'رضا رویگری', 'علی باقری']",مهدی صاحبی,1035,اکران آنلاین,68%
7,پری سا,خانوادگی - اجتماعی,1399,"['عباس غزالی', 'بهاره افشاری', 'ترلان پروانه', 'شقایق فراهانی', 'حمید گودرزی', 'مارال فرجاد', 'صحرا اسدالهی']",محمدرضا رحمانی,7338,65%,
8,از رئیس جمهور پاداش نگیرید,خانوادگی - کمدی,1387,"['حسن معجونی', 'آتیلا پسیانی', 'آشا محرابی', 'بهمن زرین پور', 'صابر ابر', 'اصغر نقی زاده', 'رضا بهبودی', 'احمد آقالو']",کمال تبریزی,4311,67%,2.9
9,قیصر، چهل سال بعد - پشت صحنه,مستند - بیوگرافی,1388,,مسعود نجفی,77,88%,
10,قیصر، چهل سال بعد,مستند - بیوگرافی,1388,,مسعود نجفی,1367,94%,
11,تکخال - پشت صحنه,کمدی - خانوادگی,1399,"['پوریا پورسرخ', 'سحر قریشی', 'سحر قریشی', 'شبنم قلی خانی', 'یوسف تیموری', 'امیر کربلایی زاده']",مجید مافی,794,88%,
12,گزارش آشوب,مستند - اجتماعی,1398,,محمدرضا گیوه چیان,63,81%,
13,فالکن,مستند - اجتماعی,1400,,سید صالح پور یزدان پرست,75,91%,
14,شبیخون غیور اصلی,مستند - اجتماعی,1400,,محسن قیصری,40,92%,
15,دستمال سرخها,مستند - اجتماعی,1397,,حنظله تاج الدینی,35,87%,
16,دریا موج کاکا,خانوادگی - اجتماعی,1399,"['مهران احمدی', 'حسین محجوب', 'شیفته خرم دل', 'فرید سماواتی', 'رضا اکبرپور', 'رؤیا افشار']",علی سرآهنگ,7691,76%,
17,قرارمون پارک شهر,خانوادگی - اجتماعی,1395,"['شقایق فراهانی', 'امین زندگانی', 'ماه چهره خلیلی', 'سام نوری', 'نرگس محمدی', 'افسر اسدی', 'سیاوش طهمورث', 'امید روحانی', 'شیوا خسرومهر', 'مریم کاویانی', 'محمدرضا شریفی نیا']",فلورا سام,9873,89%,
18,کنار گود,مستند - ورزشی,1397,"['حسن یزدانی', 'همت مسلمی']",تورج کلانتری,31,90%,
19,خانه کابل,مستند - اجتماعی,1399,,مسعود کارگر,73,96%,
20,گورکن,خانوادگی - اجتماعی,1398,"['ویشکا آسایش', 'حسن معجونی', 'مهراوه شریفی نیا', 'گوهر خیراندیش', 'بهنوش بختیاری', 'رضا بهبودی', 'سیاوش چراغی پور', 'مهدی حسینی نیا', 'محمود نظرعلیان', 'یدالله شادمانی', 'حمیدرضا محمدی', 'ندا دهشیری']",کاظم ملایی,12654,71%,5.9
21,بیست سال,مستند - سیاسی تاریخی,1400,,وحید فراهانی,171,90%,
22,خون شد,خانوادگی - اجتماعی,1398,"['سعید آقاخانی', 'نسرین مقانلو', 'سیامک صفری', 'لیلا زارع', 'هومن برق نورد', 'اکبر معززی', 'سیامک انصاری', 'مریم عباس زاده', 'اردشیر احمدی']",مسعود کیمیایی,7911,63%,4.2
23,کما - پشت صحنه,خانوادگی - کمدی,1382,"['امین حیایی', 'محمدرضا گلزار', 'حدیث فولادوند', 'آتیلا پسیانی', 'مهناز افشار', 'اصغر آشوری', 'بهناز حوری']",آرش معیریان,60,94%,
24,مهمان - پشت صحنه,کمدی - خانوادگی,1386,"['امین حیایی', 'محمدرضا شریفی نیا', 'شقایق فراهانی', 'حسام نواب صفوی', 'مریم امیرجلالی', 'پوریا پورسرخ']",سعید اسدی,38,96%,
25,عطش - پشت صحنه,اکشن - ماجراجویی,1381,"['بهرام رادان', 'فریبرز عرب نیا', 'شهرام حقیقت دوست', 'شبنم قلی خانی', 'ساغر عزیزی', 'طیب شرافتی']",محمدحسین فرح بخش,22,93%,5.2
26,دو روی سکه - پشت صحنه,خانوادگی - اجتماعی,1371,"['ابوالفضل پورعرب', 'سید احمد مهدوی مرندی هاشمی', 'لیلا مصدقی', 'مرتضی ضرابی', 'نادیا دلدارگلچین']",محمد متوسلانی,7,78%,3.4
27,پاک باخته - پشت صحنه,کمدی - خانوادگی,1373,"['علیرضا خمسه', 'اکبر عبدی', 'حمیده خیرآبادی', 'پریسا گلدوست', 'پرند زاهدی', 'زهره صفوی']",غلامحسین لطفی,26,94%,5.7
28,زخمی - پشت صحنه,اکشن - هیجان انگیز,1376,"['جمشید هاشم پور', 'افسانه بایگان', 'محمد صادقی', 'جلال پیشواییان']",كامران قدكچیان,24,80%,4.3
29,عقرب - پشت صحنه,اکشن - پلیسی معمایی,1375,"['جمشید هاشم پور', 'محمد صالح علا', 'آتیلا پسیانی', 'حسن رضایی', 'کاظم هژیرآزاد', 'رفیع مددكار', 'شهرام زرگر', 'مینا فرامرزی']",بهروز افخمی,24,87%,5.4
30,بهشت پنهان - پشت صحنه,خانوادگی - اجتماعی,1373,"['ابوالفضل پورعرب', 'فاطمه گودرزی', 'حسین فلاح', 'شهریار پارسی پور']",کامران قدکچیان,7,89%,
